11:00|11:00|"I'm ever so much obliged."" ""It's four minutes to eleven now,"" went on Dorry."|What Katy Did|Susan Coolidge|sfw
11:15|11:15|The hands of the clock pointed to a quarter past eleven when Robert began his story.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
11:15|11:15|Leave Paddington by the 11:15.” “What do you say, dear?” said my wife, looking across at me.|The Adventures of Sherlock Holmes|Arthur Conan Doyle|sfw
11:15|11:15|Their bundles and baskets were gathered up, and half an hour later, when the clock-chime sounded a quarter past eleven, they were straggling along the lane which led up the hill towards their homes.|Tess of the d'Urbervilles|Thomas Hardy|sfw
11:30|11:30|Fanny Hackbutt comes at half past eleven.|Middlemarch|George Eliot|sfw
11:30|11:30|It is due at Winchester at 11:30.” “That will do very nicely.|The Adventures of Sherlock Holmes|Arthur Conan Doyle|sfw
11:30|11:30|The Voyage The Picton boat was due to leave at half-past eleven.|The Garden Party|Katherine Mansfield|sfw
11:45|11:45|"A quarter to twelve,"" said Robert, looking at his watch."|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
11:45|11:45|I waited till a quarter to twelve, and found then that I was in All Souls’.|Far from the Madding Crowd|Thomas Hardy|sfw
11:45|11:45|At any rate, we whirled into the station with many more, just as the great clock pointed to eight minutes to twelve o'clock.|Black Beauty|Anna Sewell|sfw
12:00|12:00|Few house-plants can bear the sun at noon.|The Home and the World|Rabindranath Tagore|sfw
12:00|12:00|Aubrey returned at five minutes past twelve, a failure.|Of One Blood|Pauline E. Hopkins|sfw
12:00|12:00|It was noon, and steaming dishes were hastily carried into the dining-room.|American Indian Stories|Zitkala-Sa|sfw
12:15|12:15|This jet of fire had become invisible about a quarter past twelve.|The War of the Worlds|H. G. Wells|sfw
12:30|12:30|At half past twelve I stole softly down stairs.|Incidents in the Life of a Slave Girl|Harriet Jacobs|sfw
12:30|12:30|It was half-past twelve, and the passengers, instead of retiring to their berths, once more assembled at the gambling-tables.|Clotelle|William Wells Brown|sfw
12:30|12:30|It was now about half past twelve, but my nerves were at such a tension that I could not endure the mere thought of going to bed.|The Autobiography of an Ex-Colored Man|James Weldon Johnson|sfw
12:45|12:45|They were desired to take up at a quarter before one.|Barchester Towers|Anthony Trollope|sfw
12:45|12:45|I’m hanged if it isn’t a quarter to one,” said the Journalist.|The Time Machine|H. G. Wells|sfw
12:45|12:45|He has just now, 12:45, come from Carfax hurriedly and hastened towards the South.|Dracula|Bram Stoker|sfw
13:00|13:00|It was one o’clock before we’d finished.|The Mysterious Affair at Styles|Agatha Christie|sfw
13:00|13:00|"When did it happen?"" ""About one o'clock last night."|The Colonel's Dream|Charles W. Chesnutt|sfw
13:00|13:00|We were ordered to get rid of you before one o'clock to-day.|Overshadowed|Sutton E. Griggs|sfw
13:15|13:15|An express for London left Wildernsea at a quarter past one.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
13:15|13:15|At a quarter past one the door opened, and the two gentlemen came out; they got into the cab without a word, and told Jerry where to drive, that was nearly two miles.|Black Beauty|Anna Sewell|sfw
13:15|13:15|Until then, I suppose we’ll have to be going over her programme.” The next day Thea hurried through her luncheon at a German bakery and got back to the studio at ten minutes past one.|The Song of the Lark|Willa Cather|sfw
13:30|13:30|Call me at half-past one, Peggy dear, and see me things is ready.|Vanity Fair|William Makepeace Thackeray|sfw
13:30|13:30|People were to arrive at ten, supper was to last from twelve till one, and at half-past one everybody was to be gone.|Barchester Towers|Anthony Trollope|sfw
13:30|13:30|"One or two women had already come in to ""sit,"" but by half-past one the general congregation began to arrive and to take their places."|The Uncalled|Paul Laurence Dunbar|sfw
13:45|13:45|A quarter to two,’ said Pell, looking at the parlour clock.|The Pickwick Papers|Charles Dickens|sfw
13:45|13:45|I waited in vain till the clock on the front staircase struck the quarter to two.|The Moonstone|Wilkie Collins|sfw
13:45|13:45|Within an hour of the receipt of this message, Mr. Audley arrived at the King's-cross station, and took his ticket for Wildernsea by an express train that started at a quarter before two.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
14:00|14:00|The service had been set for two o'clock in the afternoon.|The Uncalled|Paul Laurence Dunbar|sfw
14:00|14:00|Oh, Marilla, isn’t it too late?” “No, it’s only two o’clock.|Anne of Green Gables|L. M. Montgomery|sfw
14:00|14:00|About two o'clock in the afternoon, I heard the last of the hounds.|Twelve Years a Slave|Solomon Northup|sfw
14:15|14:15|What time is it?” “Ten minutes past two, sir,” answered the man, looking at the clock and blinking.|The Picture of Dorian Gray|Oscar Wilde|sfw
14:15|14:15|It was only ten minutes past two when Lady Audley came down-stairs, with her bonnet on and her hair still wet, but without the candle.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
14:30|14:30|By half-past two they were all ready for the fray.|The Garden Party|Katherine Mansfield|sfw
14:30|14:30|About half-past two, Fantine began to be restless.|Les Miserables|Victor Hugo|sfw
14:30|14:30|My dear Albert,” said Debray, rising, “it is half-past two.|The Count of Monte Cristo|Alexandre Dumas|sfw
14:45|14:45|It was then a quarter to three o’clock by my watch.|The Woman in White|Wilkie Collins|sfw
14:45|14:45|Thanks to your worthy governor, Sir,’ said Mr. Trotter, ‘we have half a leg of mutton, baked, at a quarter before three, with the potatoes under it to save boiling.’ ‘Wot!|The Pickwick Papers|Charles Dickens|sfw
15:00|15:00|Three o'clock is such a very awkward hour.|The Age of Innocence|Edith Wharton|sfw
15:00|15:00|You are always with me.” “Dating from three o’clock yesterday.|Emma|Jane Austen|sfw
15:00|15:00|It died 'bout three o'clock; and in de mornin', Katie, habbin her cows to milk, lef her dead baby in de cabin.|Iola Leroy|Frances E. W. Harper|sfw
15:15|15:15|It’s certain,” thought he, “though rascal as he is, he is a polite one!” The sails and the English flag were hoisted at ten minutes past three.|Around the World in Eighty Days|Jules Verne|sfw
15:30|15:30|We reached Sunbury Lock at half-past three.|Three Men in a Boat|Jerome K. Jerome|sfw
15:30|15:30|My servant will be waiting with the carriage at half-past three.|Clotelle|William Wells Brown|sfw
15:30|15:30|Couldn’t it have been about half-past three?” “No, I shouldn’t say so, sir.|The Mysterious Affair at Styles|Agatha Christie|sfw
15:45|15:45|What is the time?” He looked at his watch: ten minutes to four.|East Lynne|Mrs. Henry Wood|sfw
15:45|15:45|The perusal of this paper absorbed Phileas Fogg until a quarter before four, whilst the _Standard_, his next task, occupied him till the dinner hour.|Around the World in Eighty Days|Jules Verne|sfw
15:45|15:45|The clock over the mantelpiece chimed the quarter before four as she woke suddenly and started up, with the cold perspiration breaking out in icy drops upon her forehead.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
16:00|16:00|She was so comfortable that she never stirred till four o'clock!|What Katy Did|Susan Coolidge|sfw
16:00|16:00|About four o’clock, we were again seated in the boat, and rowed three miles to the swamp.|Incidents in the Life of a Slave Girl|Harriet Jacobs|sfw
16:00|16:00|Lin John, working in his laundry, paid little attention to the street uproar and the clang of the engines rushing by.|Mrs. Spring Fragrance|Sui Sin Far|sfw
16:15|16:15|It is now exactly twenty-eight minutes past four.|The Garden Party|Katherine Mansfield|sfw
16:15|16:15|The garret of the house that Legree occupied, like most other garrets, was a great, desolate space, dusty, hung with cobwebs, and littered with cast-off lumber.|Uncle Tom's Cabin|Harriet Beecher Stowe|sfw
16:15|16:15|At a quarter-past four, that is to say, when night was fully come, he passed in front of the theatre of the Porte Saint-Martin, where _The Two Convicts_ was being played that day.|Les Miserables|Victor Hugo|sfw
16:30|16:30|Funny my watch stopped at half past four.|Ulysses|James Joyce|sfw
16:30|16:30|Suddenly the daylight began to fade away; Franz took out his watch—it was half-past four.|The Count of Monte Cristo|Alexandre Dumas|sfw
16:30|16:30|The passengers of the “Mongolia” went ashore at half-past four p.m.; at exactly eight the train would start for Calcutta.|Around the World in Eighty Days|Jules Verne|sfw
16:45|16:45|I’ve got poor little Fanny Robin in my waggon outside, and I must be at the churchyard gates at a quarter to five with her.” “Ay—I’ve heard of it.|Far from the Madding Crowd|Thomas Hardy|sfw
16:45|16:45|If it’s near dinner-time, the foreman takes out his watch when the jury has retired, and says, “Dear me, gentlemen, ten minutes to five, I declare!|The Pickwick Papers|Charles Dickens|sfw
17:00|17:00|So she knew it was three minutes to five.|Five Children and It|Edith Nesbit|sfw
17:00|17:00|"It's pitchy dark,"" she exclaimed, ""and yet almost five o'clock."|The Garies and Their Friends|Frank J. Webb|sfw
17:00|17:00|It was settled that the race should be run at five o'clock in the afternoon.|Evelina|Fanny Burney|sfw
17:15|17:15|At ten minutes past five Albert entered overjoyed.|The Count of Monte Cristo|Alexandre Dumas|sfw
17:15|17:15|A quarter-past five,” said the Count, looking at his watch.|The Woman in White|Wilkie Collins|sfw
17:15|17:15|He had no occupation, but was interested in several companies and went into town as a rule in the morning, returning by the 5:14 from Cannon Street every night.|The Adventures of Sherlock Holmes|Arthur Conan Doyle|sfw
17:30|17:30|At half past five o’clock we proceeded to the House.|The Last Man|Mary Shelley|sfw
17:30|17:30|She came in at half-past five and said that she had taken poison.|The Voyage Out|Virginia Woolf|sfw
17:30|17:30|And there isn’t another till half-past five.” She consulted the little jewelled watch among her laces.|The House of Mirth|Edith Wharton|sfw
17:45|17:45|We will dine a little earlier, though, Cornelia, say a quarter before six.|East Lynne|Mrs. Henry Wood|sfw
17:45|17:45|At a quarter before six the travellers reached the station, and found the train ready to depart.|Around the World in Eighty Days|Jules Verne|sfw
